"id","domain","active"
424,sil-vcsecl.video.dol.gov,true
425,mo-idp.imp.cms.gov,true
426,devsystems.forfeiture.gov,true
427,northport.va.gov,true
428,www.vitema.vi.gov,true
429,tech.gsa.gov,true
430,agile-labor-categories.18f.gov,true
431,internal-audit.fnal.gov,true
432,gispub.epa.gov,true
433,mo-idp.cms.gov,true
434,ps.lbl.gov,true
435,www.nssl.noaa.gov,true
436,donotcall.gov,true
437,openi.nlm.nih.gov,true
438,ldas.gsfc.nasa.gov,true
439,sysbiocube-abcc.nci.nih.gov,true
440,www.recreation.gov,true
441,visn21.va.gov,true
442,www.njsecurities.gov,true
443,gs6102dsc-goldsmr5.gesdisc.eosdis.nasa.gov,true
444,www.barbercosmo.ca.gov,true
445,armws.grantsolutions.gov,true
446,bls.gov,true
447,viamobiletrain.fda.gov,true
448,midway.fws.gov,true
449,stage-api.digitalmedia.hhs.gov,true
450,corporateapps.gsa.gov,true
451,origins-habitability.jpl.nasa.gov,true
452,www.miamidade.gov,true
453,glovis.usgs.gov,true
454,ucceventsupport.cit.nih.gov,true
455,www.pa.gov,true
456,sanantonio.fbi.gov,true
457,hq2010.bnl.gov,true
458,blm.gov,true
459,www.oshrc.gov,true
460,"2016.bbg.gov",true
461,laser-research.lbl.gov,true
462,www.oversight.gov,true
463,npin.cdc.gov,true
464,martinsburg.va.gov,true
465,cfmedicine.nlm.nih.gov,true
466,onthemap.ces.census.gov,true
467,stcloud.va.gov,true
468,geohazards.cr.usgs.gov,true
469,ncea.acl.gov,true
470,ccdev.ginniemae.gov,true
471,gema.georgia.gov,true
472,www.occ.ohio.gov,true
473,doh.dc.gov,true
474,www.doc.wa.gov,true
475,services.dat.noaa.gov,true
476,www.cdo.gov,true
477,regulations.doe.gov,true
478,so.usmission.gov,true
479,dmamc-test.pnnl.gov,true
480,niaaa.nih.gov,true
481,testint.fleta.gov,true
482,otp.nwave.noaa.gov,true
483,fincen105.cbp.dhs.gov,true
484,insurance.kansas.gov,true
485,wwwapps.nimh.nih.gov,true
486,myairforce.test.usajobs.gov,true
487,pmiweb.ornl.gov,true
488,phdc-pub.gsa.gov,true
489,pnspcn0109.care.va.gov,true
490,bjs.ojp.usdoj.gov,true
491,servicedesk.gsa.gov,true
492,fundedresearch.cancer.gov,true
493,api.eia.gov,true
494,www.asianpacificheritage.gov,true
495,buildd.usajobs.gov,true
496,www.cms.gov,true
